scenario_id,branch_id,power_w,flow_lpm,coolant_rise_c,outlet_temp_c
uniform,1,600.0,0.863836,10.000,40.000
uniform,2,600.0,0.863836,10.000,40.000
uniform,3,600.0,0.863836,10.000,40.000
uniform,4,600.0,0.863836,10.000,40.000
uniform,5,600.0,0.863836,10.000,40.000
uniform,6,600.0,0.863836,10.000,40.000
uniform,7,600.0,0.863836,10.000,40.000
uniform,8,600.0,0.863836,10.000,40.000
nonuniform,1,450.0,0.863836,7.500,37.500
nonuniform,2,500.0,0.863836,8.333,38.333
nonuniform,3,550.0,0.863836,9.167,39.167
nonuniform,4,600.0,0.863836,10.000,40.000
nonuniform,5,650.0,0.863836,10.833,40.833
nonuniform,6,700.0,0.863836,11.667,41.667
nonuniform,7,750.0,0.863836,12.500,42.500
nonuniform,8,600.0,0.863836,10.000,40.000
restricted_branch,1,600.0,0.863836,10.000,40.000
restricted_branch,2,600.0,0.863836,10.000,40.000
restricted_branch,3,600.0,0.863836,10.000,40.000
restricted_branch,4,600.0,0.431918,20.000,50.000
restricted_branch,5,600.0,0.863836,10.000,40.000
restricted_branch,6,600.0,0.863836,10.000,40.000
restricted_branch,7,600.0,0.863836,10.000,40.000
restricted_branch,8,600.0,0.863836,10.000,40.000
